provider_name,provider_state,provider_zip_code,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,provider_type,provider_resides_in_hospital,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,health_inspection_rating,qm_rating,staffing_rating,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,registered_nurse_hours_per_resident_per_day_on_the_weekend,number_of_administrators_who_have_left_the_nursing_home,number_of_facility_reported_incidents,number_of_substantiated_complaints,number_of_citations_from_infection_control_inspections,number_of_fines,number_of_payment_denials,total_number_of_penalties
VICKSBURG CONVALESCENT CENTER,MS,39180,For profit - Corporation,100,76.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,4,5,4,2.15612,1.98631,4.14243,0.4244,0,0,1,0,0,0,0
THE WINDSOR PLACE,MS,39702,For profit - Corporation,140,105.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,1,3,2.05668,1.12074,3.17743,0.1132,0,1,2,1,3,0,3
HUMPHREYS CO NURSING CENTER,MS,39038,For profit - Limited Liability company,60,41.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,2,3,2.34937,1.54821,3.89758,0.3487,,0,0,0,1,0,1
HILLTOP MANOR HEALTH AND REHABILITATION CENTER,MS,39365,For profit - Corporation,60,54.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,2,3,1.79872,1.5584,3.35712,0.54685,0,0,0,1,1,0,1
THE OAKS REHABILITATION AND HEALTHCARE CENTER,MS,39301,For profit - Corporation,82,72.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,1,2,2.05745,1.36856,3.426,0.12819,2,0,5,0,4,0,4
LAURELWOOD COMMUNITY LIVING CENTER,MS,39440,For profit - Corporation,60,44.1,Medicare and Medicaid,N,Y,,Y,N,Resident,Yes,1,1,2,1,1.92273,1.43877,3.3615,0.37666,,4,2,1,2,1,3
LONGWOOD COMM LIVING CENTER,MS,38829,For profit - Limited Liability company,64,40,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,2,2,5,2.04085,1.65119,3.69204,0.72944,,0,0,0,1,0,1
WINDHAM HOUSE OF HATTIESBURG,MS,39402,For profit - Individual,60,49.5,Medicare and Medicaid,N,N,,N,Y,Both,Yes,3,3,3,3,2.35444,1.68876,4.04321,0.35385,,0,0,0,0,0,0
BRANDON COURT,MS,39042,For profit - Corporation,100,78.7,Medicare and Medicaid,N,Y,,N,Y,Both,Yes,1,2,1,2,2.08966,1.50408,3.59374,0.1318,,1,1,0,1,0,1
CLARKSDALE NURSING CENTER,MS,38614,For profit - Individual,72,48.4,Medicare and Medicaid,N,N,,N,Y,Both,Yes,1,1,2,3,1.97175,1.70019,3.67194,0.33148,,0,2,0,1,0,1
NEW ALBANY HEALTH & REHAB CENTER,MS,38652,For profit - Corporation,120,90.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,4,4,2.99452,1.70949,4.70401,0.26545,,0,0,2,0,0,0
OXFORD HEALTH & REHAB CENTER,MS,38655,For profit - Corporation,180,109.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,1,3,2.39618,1.94638,4.34255,0.14541,,1,2,0,1,0,1
PONTOTOC HEALTH & REHAB CENTER,MS,38863,For profit - Corporation,60,46.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,2,3,1.95334,1.76892,3.72227,0.42128,,0,2,0,1,0,1
LIBERTY COMMUNITY LIVING CTR,MS,39645,For profit - Partnership,80,62.5,Medicare and Medicaid,N,N,SFF Candidate,N,Y,Resident,Yes,1,1,1,3,1.92232,1.36567,3.28799,0.21899,,0,27,1,3,0,3
"MYRTLES NURSING CENTER, LLC",MS,39429,For profit - Partnership,98,80.4,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,1,2,1,2,1.86758,1.34353,3.21111,0.13007,,0,0,1,1,0,1
PARKWAY HEALTH & REHAB LLC,MS,39046,For profit - Limited Liability company,67,32.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,3,1,4,2.59157,2.24178,4.83334,0.32809,,0,0,0,1,0,1
HIGHLAND HOME,MS,39157,For profit - Partnership,120,97.3,Medicare and Medicaid,N,N,,N,Y,Both,Yes,3,3,3,2,2.34607,1.61539,3.96146,0.23458,,0,1,0,0,0,0
"MAGNOLIA SENIOR CARE, LLC",MS,39213,For profit - Corporation,60,49.3,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,5,5,2,2,2.06737,1.75285,3.82023,0.18666,0,0,0,0,0,0,0
THE MADISON HEALTH AND REHAB,MS,39110,For profit - Corporation,60,55,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,1,3,2.60707,2.12021,4.72727,0.16895,0,0,2,0,1,0,1
GREENE COUNTY HEALTH AND REHABILITATION,MS,39451,Government - County,60,50.8,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,4,4,4,4,2.488,1.84346,4.33146,0.18705,1,0,0,0,0,0,0
"HILLCREST NURSING CENTER, LLC",MS,39111,For profit - Limited Liability company,120,88,Medicare and Medicaid,N,N,,N,N,Both,Yes,1,2,1,2,1.92035,1.4002,3.32055,0.2045,,0,0,1,1,0,1
SARDIS COMMUNITY  NH,MS,38666,For profit - Corporation,60,51.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,4,1,2,2.33604,1.39095,3.72699,0.20562,,0,0,0,0,0,0
CAMELLIA ESTATES,MS,39648,For profit - Corporation,30,23.7,Medicare,N,Y,,N,Y,Both,Yes,3,3,4,2,1.88176,2.09701,3.97877,0.37064,,0,0,2,0,0,0
LANDMARK OF DESOTO,MS,38637,For profit - Individual,60,52.5,Medicare and Medicaid,N,N,,N,N,Both,Yes,3,3,2,2,2.11735,1.48799,3.60534,0.27446,,0,4,0,0,0,0
CLINTON HEALTHCARE LLC - SNF,MS,39056,For profit - Limited Liability company,121,106.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,3,4,2.93027,1.50586,4.43613,0.3271,1,1,0,1,3,0,3
VAIDEN COMMUNITY LIVING CENTER,MS,39176,For profit - Limited Liability company,60,53.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,3,1,3,2.20087,1.3567,3.55756,0.58526,,1,0,0,3,0,3
HERITAGE HOUSE NURSING CENTER,MS,39180,For profit - Corporation,60,50.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,3,3,2.42842,1.67978,4.10819,0.3257,,0,0,0,1,0,1
COMMUNITY PLACE,MS,39047,Non profit - Other,60,55.1,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,4,5,1,4,2.58619,1.93196,4.51815,0.30456,,0,0,0,2,0,2
PINE VIEW HEALTH AND REHABILITATION CENTER,MS,39367,For profit - Corporation,90,85,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,4,2,1,1.75302,1.27254,3.02556,0.15173,1,0,0,0,0,0,0
PASS CHRISTIAN HEALTH AND REHABILIATION CENTER,MS,39571,For profit - Limited Liability company,60,53.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,2,2,1.55151,1.668,3.21951,0.32848,1,0,0,0,0,0,0
DIVERSICARE OF QUITMAN,MS,39355,For profit - Corporation,120,88.6,Medicare and Medicaid,N,N,,N,Y,Both,Yes,2,2,2,2,1.78584,1.22583,3.01168,0.32956,1,0,0,1,1,0,1
RIVER CHASE VILLAGE,MS,39553,For profit - Corporation,60,46.9,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,1,1,2,3,2.19805,1.58066,3.77871,0.22806,1,0,0,2,0,0,0
DRIFTWOOD NURSING CENTER,MS,39501,Government - City/county,151,117.6,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,3,3,2,3,2.02514,1.24912,3.27426,0.2874,,1,0,0,6,0,6
COPIAH LIVING CENTER,MS,39059,For profit - Corporation,60,54,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,2,2,2.43413,1.38119,3.81532,0.24394,,0,2,1,1,0,1
LEGACY MANOR NURSING AND REHABILITATION,MS,38704,For profit - Corporation,60,45.8,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,2,2,2,3,2.40907,1.7406,4.14967,0.21398,,0,0,0,0,0,0
DIVERSICARE OF SHELBY,MS,38774,For profit - Corporation,60,44.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,2,3,1.92836,1.48464,3.413,0.41646,1,0,0,0,0,0,0
GREENBOUGH HEALTH AND REHABILITATION CENTER,MS,38614,For profit - Corporation,60,49,Medicare and Medicaid,N,N,,N,Y,Both,Yes,3,4,2,1,1.60044,1.39046,2.9909,0.20763,2,0,0,0,4,0,4
DESOTO HEALTHCARE CENTER,MS,38671,For profit - Corporation,120,88.2,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,1,2,1,1,2.01211,1.75965,3.77176,0.10583,,0,2,0,1,0,1
BEDFORD CARE CTR-MONROE HALL,MS,39401,For profit - Corporation,80,74,Medicare and Medicaid,N,N,,Y,N,Resident,Yes,1,1,4,4,2.39014,1.66795,4.05808,0.27027,1,3,0,3,2,0,2
VINEYARD COURT NURSING CENTER,MS,39705,For profit - Limited Liability company,60,46.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,2,4,2.31105,1.81139,4.12244,0.45108,2,1,0,1,2,0,2
WILLOW CREEK RETIREMENT CENTER,MS,39272,For profit - Corporation,88,81.7,Medicare and Medicaid,N,N,,Y,Y,Resident,Yes,2,2,2,3,2.07348,1.6478,3.72128,0.44784,2,2,1,0,0,0,0
"CARRINGTON, LLC D/B/A THE CARRINGTON",MS,39759,For profit - Corporation,60,53,Medicare and Medicaid,N,N,,Y,N,Resident,Yes,2,2,3,3,2.18967,1.59397,3.78364,0.46249,2,2,1,0,0,0,0
SENATOBIA HEALTHCARE & REHAB,MS,38668,For profit - Individual,106,82.1,Medicare and Medicaid,N,N,,N,Y,Both,Yes,3,3,3,3,2.43852,1.92627,4.36479,0.18906,,0,1,0,2,0,2
BRIAR HILL REST HOME,MS,39073,For profit - Corporation,60,52.8,Medicare and Medicaid,N,N,,N,Y,Both,Yes,2,2,2,3,2.38078,1.44826,3.82904,0.2093,1,5,3,0,1,0,1
THE NICHOLS CENTER,MS,39110,For profit - Corporation,60,56.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,3,4,2.44856,1.61994,4.0685,0.47356,1,0,0,0,0,0,0
RIVER PLACE NURSING CENTER,MS,38821,For profit - Limited Liability company,60,56.4,Medicare and Medicaid,N,N,,N,Y,Both,Yes,5,5,2,4,2.05407,1.48302,3.53709,0.73746,0,1,0,0,0,0,0
TRACE EXTENDED CARE & REHABILITATION,MS,38851,For profit - Limited Liability company,66,57.9,Medicare and Medicaid,N,N,,N,N,Both,Yes,1,2,1,3,2.05774,1.43652,3.49425,0.26143,1,0,18,3,10,0,10
GOLDEN AGE NURSING HOME,MS,38930,Non profit - Corporation,150,80.9,Medicare and Medicaid,N,N,,N,Y,Both,Yes,4,4,3,4,2.90985,1.77807,4.68792,0.23593,1,0,0,0,1,0,1
STONE COUNTY REHABILITATION AND NURSING CTR INC,MS,39577,Government - City/county,59,58.6,Medicare and Medicaid,N,Y,,N,N,Both,Yes,3,3,3,4,1.89244,1.92022,3.81266,0.5278,0,0,0,0,2,0,2
CEDARS HEALTH CENTER,MS,38801,Non profit - Corporation,140,118.7,Medicare and Medicaid,N,Y,,N,Y,Resident,Yes,2,2,2,4,3.51593,1.91331,5.42924,0.33453,0,4,1,0,2,0,2
SILVER CROSS HEALTH & REHAB,MS,39601,For profit - Partnership,55,44.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,2,1,1,2.03543,1.59708,3.63251,0.22603,1,0,1,0,1,0,1
GREAT OAKS REHABILITATION AND HEALTHCARE CENTER,MS,38611,For profit - Corporation,60,50.3,Medicare and Medicaid,N,N,,N,N,Both,Yes,3,4,1,3,2.84341,2.1172,4.96061,0.18961,2,2,0,1,2,0,2
"UNION CO HEALTH AND REHAB CENTER, INC",MS,38652,For profit - Corporation,60,46.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,2,1,4,2.42732,2.34759,4.77491,0.36763,0,0,1,0,3,0,3
DUGAN MEMORIAL HOME,MS,39773,For profit - Corporation,60,52.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,3,3,3.47558,1.65983,5.13542,0.239,2,0,0,0,0,0,0
WASHINGTON CARE CENTER,MS,38703,For profit - Corporation,60,47.1,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,2,2,2,2,2.21964,1.37557,3.59521,0.24683,,2,1,2,0,0,0
"POPLAR SPRINGS NURSING CTR, LLC",MS,39305,For profit - Corporation,91,81.9,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,3,3,2,3,2.48968,1.42066,3.91034,0.21148,1,2,0,0,1,0,1
THE GROVE,MS,39429,For profit - Limited Liability company,86,78,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,3,1,4,2.39704,1.99879,4.39583,0.20202,,0,0,0,0,0,0
J G ALEXANDER NURSING CENTER,MS,39365,For profit - Individual,60,57,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,3,1,4,2.93703,1.65844,4.59547,0.4704,,0,0,0,1,0,1
"SUNSHINE HEALTH CARE, INC",MS,38863,For profit - Individual,60,51.1,Medicare and Medicaid,N,N,,N,N,Both,Yes,5,5,2,5,4.69543,2.07451,6.76994,0.26626,,0,0,0,0,0,0
LANDMARK NURSING AND REHAB CENTER,MS,38829,For profit - Corporation,80,65.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,2,3,2.10046,1.90485,4.00531,0.43801,0,1,0,0,1,0,1
HATTIESBURG HEALTH & REHAB CENTER,MS,39401,For profit - Partnership,164,143.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,3,1,4,2.27946,1.80235,4.08181,0.22426,1,0,0,0,0,0,0
DUNBAR VILLAGE TERRACE,MS,39520,For profit - Partnership,70,48.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,4,4,2.84649,1.77568,4.62218,0.33949,1,0,0,0,1,0,1
GREENBRIAR NURSING CENTER,MS,39540,For profit - Corporation,103,68,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,3,1,4,2.2943,1.57525,3.86955,0.64727,0,0,0,0,1,0,1
BRUCE COMMUNITY LIVING CENTER,MS,38915,For profit - Corporation,35,30,Medicare and Medicaid,N,N,,N,N,Both,Yes,5,5,2,4,2.41118,1.69455,4.10572,0.56827,,0,0,0,0,0,0
WISTERIA GARDENS,MS,39208,For profit - Limited Liability company,52,43.5,Medicare,N,N,,N,N,Both,Yes,3,3,4,2,1.85055,1.79901,3.64956,0.19429,1,0,3,1,2,0,2
PINE FOREST HEALTH AND REHABILITATION,MS,39206,For profit - Limited Liability company,120,77,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,2,1,1,1.63615,1.5957,3.23185,0.2172,2,1,2,0,2,0,2
MARTHA COKER GREEN HOUSE HOME,MS,39194,Non profit - Corporation,60,56.9,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,3,3,1,5,3.49265,1.78068,5.27333,0.21943,0,0,0,0,1,0,1
BEDFORD CARE CENTER OF MARION,MS,39342,For profit - Corporation,120,70.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,4,2,2.35549,1.48894,3.84443,0.36152,2,0,0,1,3,0,3
MADISON CO NH,MS,39046,Government - County,95,89.2,Medicare and Medicaid,N,Y,,N,Y,Resident,Yes,1,3,1,1,2.42309,1.24394,3.66703,0.22836,,0,0,0,3,0,3
ARRINGTON LIVING CENTER,MS,39428,For profit - Corporation,60,56.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,4,1,4,2.53569,1.70743,4.24312,0.47048,0,0,0,0,0,0,0
HOLMES COUNTY LONG TERM CARE CENTER - DURANT,MS,39063,For profit - Corporation,80,76.6,Medicare and Medicaid,N,N,,N,N,Both,Yes,3,3,2,3,2.37949,1.49063,3.87012,0.16963,0,0,1,0,1,0,1
GEORGE REGIONAL HEALTH & REHAB CENTER,MS,39452,Government - County,59,39.7,Medicare and Medicaid,N,N,,Y,N,Resident,Yes,1,1,4,4,2.21979,2.39018,4.60996,0.46376,0,0,5,0,1,0,1
"TUNICA COUNTY HEALTH & REHAB, LLC",MS,38676,For profit - Corporation,60,40.8,Medicare and Medicaid,N,N,,N,Y,Both,Yes,4,4,2,3,2.27359,1.93737,4.21095,0.32462,0,0,0,0,0,0,0
FORREST GENERAL HOSPITAL SKILLED NURSING UNIT,MS,39401,Government - County,20,17.2,Medicare,Y,N,,N,N,None,Yes,5,5,5,5,2.55505,5.12981,7.68486,2.10817,2,0,0,0,1,0,1
JONES CO REST HOME,MS,39437,Government - County,122,108.6,Medicare and Medicaid,N,N,,N,N,Both,Yes,2,2,2,4,2.22032,1.64668,3.867,0.29543,1,2,1,0,1,0,1
LAMAR HEALTHCARE & REHABILITATION CENTER,MS,39455,For profit - Limited Liability company,120,54.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,1,1,2.29429,1.27662,3.57091,0.17221,,0,0,1,2,0,2
CHOCTAW RESIDENTIAL CENTER,MS,39350,Government - Federal,120,91,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,2,3,1.9436,1.44719,3.39079,0.28085,0,1,2,1,2,0,2
NORTH POINTE HEALTH & REHABILITATION,MS,39305,For profit - Limited Liability company,60,56.5,Medicare and Medicaid,N,N,,N,N,Both,Yes,4,4,4,4,3.34072,1.67904,5.01976,0.31122,0,0,1,0,0,0,0
GULFPORT CARE CENTER,MS,39503,For profit - Limited Liability company,90,63.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,2,2,2.19914,1.55472,3.75387,0.16873,,0,0,0,0,0,0
MS CARE CENTER OF RALEIGH,MS,39153,For profit - Corporation,116,96.6,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,4,4,3,4,2.28132,1.72884,4.01016,0.28415,,0,0,0,0,0,0
BEDFORD CARE CENTER OF PICAYUNE,MS,39466,For profit - Corporation,60,57.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,4,1,4,2.28939,1.61851,3.9079,0.30243,0,0,0,0,2,0,2
QUITMAN COUNTY HEALTH & REHAB LLC,MS,38646,For profit - Corporation,60,39.2,Medicare and Medicaid,N,N,,N,N,Both,Yes,4,4,3,3,2.36145,1.87337,4.23482,0.2348,3,0,0,0,1,0,1
SINGING RIVER SKILLED NURSING FACILITY,MS,39581,Non profit - Corporation,36,29.5,Medicare,N,N,,N,Y,None,Yes,5,5,2,5,3.14517,4.415,7.56016,1.09969,,0,0,0,1,0,1
CHOCTAW NURSING AND REHABILITATION CENTER,MS,39735,Government - County,60,48.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,2,1,1,,,,,,2,1,0,1,0,1
TREND HEALTH & REHAB OF MERIDIAN LLC,MS,39305,For profit - Limited Liability company,58,53.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,3,3,2.54994,1.6251,4.17504,0.41709,0,0,0,0,1,0,1
PEARL RIVER CO NURSING HOME,MS,39470,Government - County,120,87.2,Medicare and Medicaid,Y,N,,N,Y,Resident,Data Not Available,,,,,2.80527,2.14347,4.94874,0.25979,,0,0,,0,0,0
SINGING RIVER GULFPORT SKILLED NURSING FACILITY,MS,39503,Non profit - Corporation,30,29.3,Medicare,Y,N,,N,N,None,Yes,,,,,4.00206,3.78453,7.78659,0.98671,,0,0,0,1,0,1
CARTHAGE SENIOR CARE,MS,39051,For profit - Limited Liability company,44,39.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,,,,,2.75462,2.0183,4.77292,0.28495,,0,0,,0,0,0
COMFORT CARE NURSING CENTER,MS,39440,Government - County,126,,Medicare and Medicaid,N,N,,N,N,Resident,Yes,,,,,,,,,,0,0,,0,0,0
REGINALD P WHITE NURSING FACILITY,MS,39307,Government - State,60,52.9,Medicaid,N,N,,N,N,Both,Yes,5,4,4,5,4.65078,2.32457,6.97535,1.70532,0,0,0,0,1,0,1
SHEARER-RICHARDSON MEMORIAL NURSING HOME,MS,38860,Government - City/county,73,68.5,Medicaid,N,N,,N,N,Resident,Yes,3,3,3,3,2.32385,1.18765,3.5115,0.57691,,1,0,0,2,0,2
YALOBUSHA COUNTY NURSING HOME,MS,38965,Government - County,122,92.5,Medicaid,Y,N,,N,N,Resident,Yes,4,4,4,4,2.57404,1.97129,4.54533,0.10992,0,0,0,1,1,0,1
JASPER COUNTY NH,MS,39422,Government - County,110,99.5,Medicaid,Y,N,,N,Y,Resident,Yes,3,3,3,4,2.82925,1.56248,4.39173,0.3499,,1,1,0,3,0,3
BOLIVAR MEDICAL CENTER LTC,MS,38732,For profit - Corporation,35,24.1,Medicaid,Y,N,,N,N,Both,Yes,5,4,2,5,1.94139,2.15563,4.09702,0.75994,,3,0,0,1,0,1
TALLAHATCHIE GENERAL HOSP ECF,MS,38921,Government - County,98,73.8,Medicaid,N,N,,N,N,Resident,Yes,4,4,2,3,1.68939,1.51717,3.20656,0.25021,0,0,0,0,0,0,0
JNH-JAQUITH INN,MS,39193,Government - State,45,39.5,Medicaid,N,N,SFF Candidate,N,N,Both,Yes,2,1,5,5,3.10109,1.42805,4.52913,0.52614,0,2,0,1,2,0,2
"BAPTIST NURSING HOME-CALHOUN, INC",MS,38916,Non profit - Corporation,120,87.9,Medicaid,Y,N,,N,N,Resident,Yes,4,4,3,3,2.5558,1.4295,3.9853,0.09846,0,0,0,0,0,0,0
NOXUBEE COUNTY NURSING HOME,MS,39341,Government - County,60,54.4,Medicaid,Y,N,,N,N,Resident,Yes,4,4,2,4,2.31261,1.61643,3.92904,0.42761,,0,2,0,0,0,0
PONTOTOC NURSING HOME,MS,38863,Non profit - Corporation,44,43.4,Medicaid,Y,N,,N,N,None,Yes,4,5,1,4,2.70227,1.43716,4.13943,0.33526,,0,0,0,0,0,0
WEBSTER HEALTH SERVICES NURSING FACILTY,MS,39744,Non profit - Corporation,36,31.4,Medicaid,Y,N,,N,N,Both,Yes,4,5,1,5,2.88973,1.87379,4.76351,0.31846,0,0,0,0,1,0,1
JNH-JEFFERSON INN,MS,39193,Government - State,89,76.6,Medicaid,N,N,,N,Y,Both,Yes,3,2,5,4,2.70914,1.04385,3.75299,0.18939,0,1,0,0,1,0,1
JNH-MADISON INN,MS,39193,Government - State,85,50.6,Medicaid,N,N,SFF Candidate,N,Y,Both,Yes,2,1,5,4,3.2148,1.3686,4.5834,0.29831,1,3,0,0,3,0,3
METHODIST SPECIALTY CARE CENTER,MS,39232,Non profit - Corporation,60,56.1,Medicaid,Y,N,,N,N,Resident,Yes,5,5,3,4,3.32209,3.44141,6.76349,1.26233,1,1,0,0,0,0,0
BEDFORD ALZHEIMER'S CARE CENTER,MS,39401,For profit - Corporation,60,57.1,Medicaid,N,N,,N,N,None,Yes,4,5,1,4,3.10105,1.67369,4.77475,0.28755,0,0,0,0,1,0,1
JAMES T CHAMPION,MS,39307,Government - State,60,57.5,Medicaid,N,N,,N,N,Both,Yes,4,4,1,5,4.26178,2.3782,6.63997,0.86222,2,0,0,0,2,0,2
WALTER B CROOK NURSING FACILITY,MS,38771,Government - County,60,54.8,Medicaid,Y,N,,N,N,Resident,Yes,3,4,1,4,2.75022,1.79596,4.54618,0.37956,,0,0,0,3,0,3
OAK GROVE RETIREMENT HOME,MS,38740,For profit - Corporation,60,56.4,Medicaid,N,N,,N,Y,Resident,Yes,5,4,5,3,1.62152,1.34516,2.96668,0.35734,1,0,0,0,2,0,2
TOWN AND COUNTRY HEALTH & REHAB,MO,63017,For profit - Corporation,282,94.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,3,1,1.72895,0.77311,2.50207,0.18143,3,4,17,3,15,1,16
KABUL NURSING HOMES INC,MO,65689,Non profit - Corporation,99,46.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,3,4,2.31313,1.32695,3.64008,0.26915,0,1,0,2,1,0,1
MASON POINTE CARE CENTER,MO,63017,Non profit - Corporation,206,88.8,Medicare and Medicaid,N,N,,N,Y,Both,Yes,2,2,4,4,3.08821,1.74471,4.83292,0.62636,0,0,0,0,0,0,0
CAMDENTON WINDSOR ESTATES,MO,65020,For profit - Corporation,82,43.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,3,3,1,1.39835,0.73141,2.12977,0.24066,1,0,0,0,0,0,0
JOHN KNOX VILLAGE CARE CENTER,MO,64081,Non profit - Corporation,399,101.1,Medicare and Medicaid,N,Y,,N,N,Resident,Yes,4,2,5,5,3.25176,2.02166,5.27342,0.99179,,2,1,0,2,0,2
DELMAR GARDENS WEST,MO,63017,For profit - Corporation,321,184.3,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,2,2,4,,,,,,,0,43,7,2,2,4
BETH HAVEN NURSING HOME,MO,63401,Non profit - Corporation,105,68.5,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,1,1,2,1,1.83954,1.60485,3.44438,0.1887,,0,16,2,33,2,35
MOORE-FEW CARE CENTER,MO,64772,Government - City,108,43.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,2,4,2.60214,1.54018,4.14233,0.35049,1,0,0,1,2,0,2
FLORISSANT VALLEY HEALTH & REHABILITATION CENTER,MO,63031,For profit - Corporation,98,79.7,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,2,1,5,1,2.02353,0.98926,3.01279,0.15677,,2,37,0,1,0,1
FRONTIER HEALTH & REHABILITATION,MO,63301,For profit - Corporation,180,103,Medicare and Medicaid,N,N,SFF Candidate,Y,N,Resident,Yes,1,1,3,3,2.57493,1.67092,4.24585,0.19199,2,5,165,1,13,1,14
ST SOPHIA HEALTH & REHABILITATION CENTER,MO,63031,For profit - Limited Liability company,240,157.4,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,1,1,2,1,1.92717,0.90676,2.83393,0.09789,1,3,33,4,6,0,6
FRIENDSHIP VILLAGE CHESTERFIELD,MO,63017,Non profit - Corporation,90,82.2,Medicare and Medicaid,N,Y,,N,Y,Resident,Yes,4,4,4,4,3.02953,1.45295,4.48248,0.35262,0,1,1,0,1,0,1
LEBANON NORTH NURSING & REHAB,MO,65536,For profit - Individual,180,82,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,2,2,2.03565,0.9932,3.02885,0.16223,0,4,5,2,1,0,1
BIG BEND WOODS HEALTHCARE CENTER,MO,63088,For profit - Corporation,135,88.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,3,1,2.10375,1.04588,3.14964,0.15817,2,4,15,0,8,1,9
FRIENDSHIP VILLAGE SUNSET HILLS,MO,63127,Non profit - Corporation,144,133.6,Medicare and Medicaid,N,Y,,N,Y,Resident,Yes,5,4,5,3,2.37716,1.47517,3.85233,0.35779,,0,1,0,1,0,1
MARYMOUNT MANOR,MO,63025,For profit - Partnership,174,81.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,2,4,2.72408,0.9975,3.72158,0.22939,,2,5,5,13,1,14
CHATEAU GIRARDEAU,MO,63703,Non profit - Corporation,75,59,Medicare and Medicaid,N,Y,,N,N,Resident,Yes,4,4,4,4,2.04702,2.03608,4.0831,0.35969,3,0,0,0,0,0,0
FOUR SEASONS LIVING CENTER,MO,65301,For profit - Corporation,239,234,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,2,1,0.9526,0.38264,1.33523,0.04316,,4,14,3,12,1,13
